lon,lat,FullDate,Day,Month,Year,StateAbb,City,Corner
-116.9625269,32.7947731,6/1/2005,1,6,2005,CA,El Cajon,"Bradley & Magnolia, El Cajon"
-123.2077831,39.1501709,6/1/2005,1,6,2005,CA,Ukiah,E. Perkins & Hwy 101 - Ukiah
-118.451357,34.1898566,6/1/2005,1,6,2005,CA,Van Nuys,Saticoy & Louise
-117.9608978,34.0852868,6/1/2005,1,6,2005,CA,Baldwin Park,"Puente & Francisquito, Baldwin Park"
-88.5433829,39.1200418,6/1/2005,1,6,2005,IL,Effingham,I-70 & Hwy 32
-94.513281,37.0842271,6/1/2005,1,6,2005,MO,Joplin,3rd & Range Line
-114.9817213,36.0395247,6/1/2005,1,6,2005,NV,Henderson,"Warm Springs & Julia, Henderson"
-96.7298519,32.9483335,6/1/2005,1,6,2005,TX,Richardson,75 & Campbell
-124.1006205,40.9465152,5/28/2005,28,5,2005,CA,McKinleyville,Central & Heartwood
-112.0740373,33.4483771,5/27/2005,27,5,2005,AZ,Phoenix,"24th St & Baseline, Phoenix"
-115.4988834,32.6789476,5/26/2005,26,5,2005,CA,Calexico,"Hwy 111 & Hwy 98, Calexico"
-123.1207375,49.2827291,5/1/2005,1,5,2005,BC,Vancouver,English Bay - Davie St & Denman St
-123.1207375,49.2827291,5/1/2005,1,5,2005,BC,Vancouver,Burrard & Smithe
-117.3794834,33.1958696,5/1/2005,1,5,2005,CA,Oceanside,"Old Grove & Mission, Oceanside"
-83.6324022,32.8406946,5/1/2005,1,5,2005,GA,Macon,I-75 @ Tom Hill Sr Blvd
-87.9959191,42.9405711,5/1/2005,1,5,2005,WI,Greendale,Southridge Mall - Lower Level
-95.3698028,29.7604267,4/15/2005,15,4,2005,TX,Houston,Hillcroft & US 59
-157.8583333,21.3069444,4/14/2005,14,4,2005,HI,Honolulu,Hawaii Kai Towne Center
-135.0568448,60.7211871,4/12/2005,12,4,2005,YT,Whitehorse,Chilkoot Centre - Whitehorse
-123.1207375,49.2827291,4/1/2005,1,4,2005,BC,Vancouver,1855 Burrard Street
-97.0328547,47.9252568,4/1/2005,1,4,2005,ND,Grand Forks,13th and Washington - Grand Forks
-122.2170661,47.4828776,4/1/2005,1,4,2005,WA,Renton,4637 Sunset Blvd.
-81.655651,30.3321838,3/19/2005,19,3,2005,FL,Jacksonville,St Johns Town Center Mall
-115.1398296,36.1699412,3/19/2005,19,3,2005,NV,Las Vegas,"Eastern & Pebble, Las Vegas"
-80.7250675,41.1808092,3/1/2005,1,3,2005,AZ,Higley,"Power & Loop 202, Gilbert"
-112.0740373,33.4483771,3/1/2005,1,3,2005,AZ,Phoenix,"Happy Valley & I-17, Phoenix"
-97.0035982,28.8052674,3/1/2005,1,3,2005,BC,Victoria,James Bay Square - Simcoe St
-123.1207375,49.2827291,3/1/2005,1,3,2005,BC,Vancouver,Cornwall & Cypress
-73.2612615,41.1408363,3/1/2005,1,3,2005,CA,Fairfield,N. Texas & Travis - Fairfield
-116.2146068,43.6187102,3/1/2005,1,3,2005,ID,Boise,Boise Avenue and Apple-ID
-112.0740373,33.4483771,2/1/2005,1,2,2005,AZ,Phoenix,"43rd Avenue & Thunderbird, Phoenix"
-112.0740373,33.4483771,1/1/2005,1,1,2005,AZ,Phoenix,"3rd Street & Bell Rd, Phoenix"
-117.1610838,32.715738,1/1/2005,1,1,2005,CA,San Diego,"Euclid & Market, San Diego"
-122.2220674,47.5706548,1/1/2005,1,1,2005,WA,Mercer Island,SE 27th - Mercer Island
-97.0035982,28.8052674,12/15/2004,15,12,2004,BC,Victoria,Fairfield Plaza
-75.8986835,45.3088185,12/11/2004,11,12,2004,ON,Kanata,500 Terry Fox Drive
-118.2436849,34.0522342,12/10/2004,10,12,2004,CA,Los Angeles,"Colorado & Eagle Rock, Eagle Rock"
-117.4260465,47.6587802,12/9/2004,9,12,2004,WA,Spokane,Sprague & Pine
-157.7973653,21.3996475,12/7/2004,7,12,2004,HI,Kaneohe,Kaneohe Bay Shopping Center
-106.6700458,52.1332144,12/2/2004,2,12,2004,SK,Saskatoon,2311A 8th St E
-114.0708459,51.0486151,11/18/2004,18,11,2004,AB,Calgary,Evergreen
-123.3767223,48.4592626,11/1/2004,1,11,2004,BC,Saanich,Cadboro Bay
-99.2650804,34.1545306,10/22/2004,22,10,2004,BC,Vernon,Polson Park - Vernon
-79.0079949,35.1414552,10/11/2004,11,10,2004,CA,Fort Bragg,Main & Walnut
-157.8583333,21.3069444,10/9/2004,9,10,2004,HI,Honolulu,Keeaumoku & Makaloa Street
-124.1636729,40.8020712,10/1/2004,1,10,2004,CA,Eureka,5th & E Street - Eureka
-88.703656,32.3643098,10/1/2004,1,10,2004,ID,Meridian,Eagle Road & Florence Dr.
